Thành phố Buôn Ma Thuột,"Phường Tân An
Phường Tân Hòa
 Phường Tân Lập
 Phường Tân Lợi
 Phường Tân Thành
 Phường Tân Tiến
 Phường Thành Công 
Phường Thành Nhất
 Phường Ea Tam 
 Phường Khánh Xuân 
Phường Tự An 
Phường Hòa Xuân 
 Xã Cư Êbur",Phường Buôn Ma Thuột,
Thành phố Buôn Ma Thuột,"Xã Hòa Phú
 Xã Hòa Khánh 
Xã Ea Kao 
 Xã Ea Tiêu (huyện Cư Kuin)",Xã Ea Kao,
Thành phố Buôn Ma Thuột,"Xã Hòa Thắng,
 Xã Ea Tu 
Xã Hòa Thuận 
 Xã Hòa Đông (huyện Krông Pắc)
 Xã Cư Suê (huyện Cư M'gar)",Xã Ea Tu,
Thị xã Buôn Hồ,,,
Huyện Buôn Đôn,Xã Krông Na,Xã Buôn Đôn,
Huyện Buôn Đôn,"Xã Cuôr Knia
Xã Ea Bar
Xã Ea Huar
Xã Ea Nuôl
Xã Ea Wer
Xã Tân Hòa",,
Huyện Cư Kuin,"Xã Dray Bhăng
Xã Hòa Hiệp
Một phần xã Ea Bhôk",Xã Dray Bhăng,
Huyện Cư Kuin,"Xã Ea Hu
Xã Ea Ktur
Xã Ea Ning
Xã Cư Êwi
Một phần xã Ea Bhôk",,
Huyện Cư M'gar,,,
Huyện Ea H'leo,Xã Ea H'Leo,Xã Ea H'Leo,
Huyện Ea H'leo,"Thị trấn Ea Drăng 
Xã Cư A Mung
Xã Cư Mốt
Xã Ea Hiao
Xã Ea Khal
Xã Ea Nam
Xã Ea Ral
Xã Ea Sol
Xã Ea Tir
Xã Ea Wy
Xã Dliê Yang",,
Huyện Ea Kar,,,
Huyện Ea Súp,Xã Ia Lốp,Xã Ia Lốp,
Huyện Ea Súp,Xã Ia Rvê,Xã Ia Rvê,
Huyện Ea Súp,"Thị trấn Ea Súp 
Xã Cư Kbang
Xã Cư M'Lan
Xã Ea Bung
Xã Ea Lê
Xã Ea Rốk
Xã Ia Jlơi
Xã Ya Tờ Mốt",,
Huyện Krông Ana,,,
Huyện Krông Bông,,,
Huyện Krông Búk,,,
Huyện Krông Năng,,,
Huyện Krông Pắc,Xã Vụ Bổn,Xã Vụ Bổn,
Huyện Krông Pắc,"Thị trấn Phước An 
Xã Ea Hiu
Xã Ea Kênh
Xã Ea Kly
Xã Ea Knuếc
Xã Ea Kuăng
Xã Ea Phê
Xã Ea Uy
Xã Ea Yiêng
Xã Ea Yông
Xã Hòa An
Xã Hòa Tiến
Xã Krông Búk
Xã Tân Tiến",,
Huyện Lắk,Xã Krông Nô,Xã Krông Nô,
Huyện Lắk,"Thị trấn Liên Sơn 
Xã Bông Krang
Xã Buôn Tría
Xã Buôn Triết
Xã Đắk Liêng
Xã Đắk Nuê
Xã Đắk Phơi
Xã Ea Rbin
Xã Nam Ka
Xã Yang Tao",,
Huyện M'Drắk,Xã Ea Trang,Xã Ea Trang,
Huyện M'Drắk,"Thị trấn M'Drắk 
Xã Cư Króa
Xã Cư M'ta
Xã Cư Prao
Xã Cư San
Xã Ea Mlây
Xã Ea Lai
Xã Ea M'Doal
Xã Ea Pil
Xã Ea Riêng
Xã Krông Á
Xã Krông Jing",,
Thành phố Tuy Hòa,"Phường 1
Phường 2
Phường 4
Phường 5
Phường 7
Một phần phường 9
Một phần xã Hòa An (huyện Phú Hòa)
Một phần xã Hòa Trị (huyện Phú Hòa)",Phường Tuy Hòa,
Thành phố Tuy Hòa,"Phường Phú Đông
Phường Phú Lâm
Phường Phú Thạnh
Xã Hòa Thành (thị xã Đông Hòa)
Một phần phường Hòa Hiệp Bắc (thị xã Đông Hòa)
Một phần xã Hòa Bình (huyện Tây Hòa)",Phường Phú Yên,
Thành phố Tuy Hòa,"Xã An Phú
Xã Bình Kiến
Xã Hòa Kiến
Một phần phường 9",Phường Bình Kiến,
Thị xã Đông Hòa,"Phường Hòa Vinh
Phường Hòa Xuân Tây
Xã Hòa Tân Đông",Phường Đông Hòa,
Thị xã Đông Hòa,"Phường Hòa Hiệp Trung
Phường Hòa Hiệp Nam
Phường Hòa Hiệp Bắc",Phường Hòa Hiệp,
Thị xã Đông Hòa,"Xã Hòa Xuân Đông
Xã Hòa Tâm
Xã Hòa Xuân Nam",Xã Hòa Xuân,
Thị xã Sông Cầu,"Phường Xuân Đài
Phường Xuân Thành",Phường Sông Cầu 1,
Thị xã Sông Cầu,"Phường Xuân Yên
Phường Xuân Phú
Xã Xuân Phương
Xã Xuân Thịnh",Phường Sông Cầu 2,
Thị xã Sông Cầu,"Xã Xuân Thọ 1
Xã Xuân Thọ 2
Xã Xuân Lâm",Xã Sông Cầu 3,
Thị xã Sông Cầu,"Xã Xuân Cảnh
Xã Xuân Bình",Xã Sông Cầu 4,
Thị xã Sông Cầu,"Xã Xuân Hải
Xã Xuân Lộc",Xã Sông Cầu 5,
Huyện Đồng Xuân,"Xã Xuân Lãnh
Xã Đa Lộc",Xã Xuân Lãnh,
Huyện Đồng Xuân,"Xã Phú Mỡ
Xã Xuân Quang 1",Xã Phú Mỡ,
Huyện Đồng Xuân,"Xã Xuân Phước
Xã Xuân Quang 3",Xã Xuân Phước,
Huyện Đồng Xuân,"Thị trấn La Hai
Xã Xuân Long
Xã Xuân Sơn Nam
Xã Xuân Sơn Bắc
Xã Xuân Quang 2",Xã Đồng Xuân,
Huyện Phú Hòa,"Thị trấn Phú Hòa
Xã Hòa Thắng
Xã Hòa Định Đông
Xã Hòa Định Tây
Xã Hòa Hội",Xã Phú Hòa 1,
Huyện Phú Hòa,"Xã Hòa Quang Bắc
Xã Hòa Quang Nam
Một phần xã Hòa Trị",Xã Phú Hòa 2,
Huyện Sơn Hòa,"Thị trấn Củng Sơn
Xã Suối Bạc
Xã Sơn Hà
Xã Sơn Nguyên
Xã Sơn Phước",Xã Sơn Hòa,
Huyện Sơn Hòa,"Xã Sơn Long
Xã Sơn Xuân
Xã Sơn Định",Xã Vân Hòa,
Huyện Sơn Hòa,"Xã Sơn Hội
Xã Cà Lúi
Xã Phước Tân",Xã Tây Sơn,
Huyện Sơn Hòa,"Xã Suối Trai
Xã Ea Chà Rang
Xã Krông Pa",Xã Suối Trai,
Huyện Sông Hinh,"Xã Ea Ly
Xã Ea Lâm
Một phần xã Ea Bar",Xã Ea Ly,
Huyện Sông Hinh,"Xã Ea Bá
Một phần xã Ea Bar",Xã Ea Bá,
Huyện Sông Hinh,"Xã Đức Bình Đông
Xã Đức Bình Tây
Xã Sơn Giang
Một phần xã Ea Bia",Xã Đức Bình,
Huyện Sông Hinh,"Thị trấn Hai Riêng
Xã Ea Trol
Xã Sông Hinh
Một phần xã Ea Bia",Xã Sông Hinh,
Huyện Tây Hòa,"Thị trấn Phú Thứ
Xã Hòa Bình 1
Xã Hòa Phong
Xã Hòa Tân Tây",Xã Tây Hòa 1,
Huyện Tây Hòa,"Xã Hòa Thịnh
Xã Hòa Đồng",Xã Tây Hòa 2,
Huyện Tây Hòa,"Xã Hòa Mỹ Đông
Xã Hòa Mỹ Tây",Xã Hòa Mỹ,
Huyện Tây Hòa,"Xã Sơn Thành Đông
Xã Sơn Thành Tây
Xã Hòa Phú",Xã Sơn Thành,
Huyện Tuy An,"Thị trấn Chí Thạnh
Xã An Định
Xã An Dân",Xã Tuy An Bắc,
Huyện Tuy An,"Xã An Ninh Đông
Xã An Ninh Tây
Xã An Thạch",Xã Tuy An Đông,
Huyện Tuy An,"Xã An Hiệp
Xã An Hòa Hải
Xã An Cư",Xã Ô Loan,
Huyện Tuy An,"Xã An Thọ
Xã An Mỹ
Xã An Chấn",Xã Tuy An Nam,
Huyện Tuy An,"Xã An Lĩnh
Xã An Nghiệp
Xã An Xuân",Xã Tuy An Tây
