Thành phố Điện Biên Phủ,"Phường Him Lam
Phường Tân Thanh
Phường Mường Thanh
Phường Thanh Bình
Phường Thanh Trường
Xã Thanh Minh",Phường Điện Biên Phủ,
Thành phố Điện Biên Phủ,"Xã Mường Phăng
Xã Nà Nhạn
Xã Pá Khoang",Xã Mường Phăng,
Thị xã Mường Lay,"Phường Sông Đà
Phường Na Lay
Xã Lay Nưa
Xã Sá Tổng (huyện Mường Chà)",Phường Mường Lay,
Huyện Điện Biên,"Phường Noong Bua (thành phố Điện Biên Phủ)
Phường Nam Thanh (thành phố Điện Biên Phủ)
Xã Thanh Xương",Phường Mường Thanh,
Huyện Điện Biên,"Xã Thanh Nưa
Xã Hua Thanh
Xã Thanh Luông
Xã Thanh Hưng
Xã Thanh Chăn",Xã Thanh Nưa,
Huyện Điện Biên,"Xã Thanh An
Xã Noong Hẹt
Xã Sam Mứn",Xã Thanh An,
Huyện Điện Biên,"Xã Noong Luống
Xã Pa Thơm
Xã Thanh Yên",Xã Thanh Yên,
Huyện Điện Biên,"Xã Pom Lót
Xã Na Ư",Xã Sam Mứn,
Huyện Điện Biên,"Xã Núa Ngam
Xã Hẹ Muông
Xã Na Tông",Xã Núa Ngam,
Huyện Điện Biên,"Xã Mường Nhà
Xã Mường Lói
Xã Phu Luông",Xã Mường Nhà,
Huyện Điện Biên Đông,"Thị trấn Điện Biên Đông
Xã Na Son
Xã Keo Lôm",Xã Na Son,
Huyện Điện Biên Đông,"Xã Xa Dung
Xã Phì Nhừ",Xã Xa Dung,
Huyện Điện Biên Đông,"Xã Pu Nhi
Xã Noong U",Xã Pu Nhi,
Huyện Điện Biên Đông,"Xã Mường Luân
Xã Chiềng Sơ
Xã Luân Giói",Xã Mường Luân,
Huyện Điện Biên Đông,"Xã Tìa Dình
Xã Háng Lìa",Xã Tìa Dình,
Huyện Điện Biên Đông,"Xã Phình Giàng
Xã Pú Hồng",Xã Phình Giàng,
Huyện Mường Ảng,,,
Huyện Mường Chà,,,
Huyện Mường Nhé,,,
Huyện Nậm Pồ,,,
Huyện Tủa Chùa,,,
Huyện Tuần Giáo,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
