Thành phố Vinh,"Phường Trường Thi
Phường Vinh Tân
Phường Trung Đô
Phường Bến Thủy
Phường Hưng Dũng
Phường Hưng Phúc
Xã Hưng Hòa",Phường Trường Vinh,
Thành phố Vinh,"Phường Quang Trung
Phường Lê Lợi
Phường Hưng Bình
Phường Cửa Nam
Phường Đông Vĩnh
Xã Hưng Chính",Phường Thành Vinh,
Thành phố Vinh,"Phường Quán Bàu
Phường Hưng Đông
Xã Nghi Kim
Xã Nghi Liên",Phường Vinh Hưng,
Thành phố Vinh,"Phường Hà Huy Tập
Phường Nghi Đức
Phường Nghi Phú
Xã Nghi Ân",Phường Vinh Phú,
Thành phố Vinh,"Phường Hưng Lộc
Xã Nghi Phong
Xã Nghi Thái
Xã Nghi Xuân
Xã Phúc Thọ",Phường Vinh Lộc,
Thành phố Vinh,"Phường Nghi Hải
Phường Nghi Hòa
Phường Nghi Hương
Phường Nghi Tân
Phường Nghi Thu
Phường Nghi Thủy
Phường Thu Thủy",Phường Cửa Lò,
Thị xã Hoàng Mai,,,
Thị xã Thái Hòa,,,
Huyện Anh Sơn,,,
Huyện Con Cuông,,,
Huyện Diễn Châu,,,
Huyện Đô Lương,,,
Huyện Hưng Nguyên,,,
Huyện Kỳ Sơn,,,
Huyện Nam Đàn,,,
Huyện Nghi Lộc,,,
Huyện Nghĩa Đàn,,,
Huyện Quế Phong,,,
Huyện Quỳ Châu,,,
Huyện Quỳ Hợp,,,
Huyện Quỳnh Lưu,,,
Huyện Tân Kỳ,,,
Huyện Thanh Chương,,,
Huyện Tương Dương,,,
Huyện Yên Thành,,,
