Thành phố Quảng Ngãi,,,
Thị xã Đức Phổ,,,
Huyện Ba Tơ,,,
Huyện Bình Sơn,,,
Huyện Lý Sơn,Không phân chia,Đặc khu Lý Sơn,
Huyện Minh Long,,,
Huyện Mộ Đức,,,
Huyện Nghĩa Hành,,,
Huyện Sơn Hà,,,
Huyện Sơn Tây,,,
Huyện Sơn Tịnh,,,
Huyện Trà Bồng,,,
Huyện Tư Nghĩa,,,
Thành phố Kon Tum,"Phường Quyết Thắng
Phường Quang Trung
Phường Thắng Lợi
Phường Thống Nhất",Phường Kom Tum 1,
Thành phố Kon Tum,"Phường Duy Tân
Phường Ngô Mây
Phường Trường Chinh
Xã Đăk Cấm",Phường Kom Tum 2,
Thành phố Kon Tum,"Phường Lê Lợi
Phường Nguyễn Trãi
Phường Trần Hưng Đạo",Phường Kom Tum 3,
Thành phố Kon Tum,"Xã Chư Hreng
Xã Đăk Blà
Xã Đak Năng
Xã Đăk Rơ Wa
Xã Đoàn Kết
Xã Hòa Bình
Xã Ia Chim
Xã Kroong
Xã Ngọk Bay
Xã Vinh Quang",Xã Đắk Bla,
Thành phố Kon Tum,"Xã Chư Hreng
Xã Đăk Blà
Xã Đak Năng
Xã Đăk Rơ Wa
Xã Đoàn Kết
Xã Hòa Bình
Xã Ia Chim
Xã Kroong
Xã Ngọk Bay
Xã Vinh Quang",Xã Ie Chim,
Thành phố Kon Tum,"Xã Chư Hreng
Xã Đăk Blà
Xã Đak Năng
Xã Đăk Rơ Wa
Xã Đoàn Kết
Xã Hòa Bình
Xã Ia Chim
Xã Kroong
Xã Ngọk Bay
Xã Vinh Quang",Xã Ngọc Bay,
Huyện Đăk Glei,,,
Huyện Đăk Hà,,,
Huyện Đăk Tô,,,
Huyện Ia H'Drai,,,
Huyện Kon Plông,,,
Huyện Kon Rẫy,,,
Huyện Ngọc Hồi,,,
Huyện Sa Thầy,,,
Huyện Tu Mơ Rông,,,
