Thành phố Tây Ninh,"Phường 1
Phường 2
Phường 3
Phường IV",Phường Tân Ninh,
Thành phố Tây Ninh,"Phường Ninh Sơn
Xã Bình Minh
Xã Tân Bình
Xã Thạnh Tân",Phường Bình Minh,
Thành phố Tây Ninh,"Phường Ninh Thạnh
Xã Bàu Năng (huyện Dương Minh Châu)
Một phần xã Chà Là (huyện Dương Minh Châu)",Phường Ninh Thạnh,
Thị xã Hòa Thành,"Phường Long Hoa 
Phường Long Thành Bắc 
Xã Trường Hòa
Xã Trường Tây
Xã Trường Đông",Phường Long Hoa,
Thị xã Hòa Thành,"Phường Long Thành Trung
Phường Long Thành Nam",Phường Hòa Thành,
Thị xã Hòa Thành,"Phường Hiệp Tân
Xã Thanh Điền (huyện Châu Thành)",Phường Thanh Điền,
Thị xã Trảng Bàng,"Phường An Hòa
Phường Trảng Bàng",Phường Trảng Bàng,
Thị xã Trảng Bàng,"Phường An Tịnh
Phường Lộc Hưng",Phường An Tịnh,
Thị xã Trảng Bàng,"Phường Gia Lộc
Xã Phước Đông (huyện Gò Dầu)",Phường Gia Lộc,
Thị xã Trảng Bàng,"Xã Hưng Thuận
Xã Đôn Thuận",Xã Hưng Thuận,
Thị xã Trảng Bàng,"Xã Phước Bình
Xã Phước Chỉ",Xã Phước Chỉ,
Huyện Gò Dầu,"Thị trấn Gò Dầu
Xã Thanh Phước
Phường Gia Bình (thị xã Trảng Bàng)",Phường Gò Dầu,
Huyện Gò Dầu,"Xã Cẩm Giang
Xã Thạnh Đức",Xã Thạnh Đức,
Huyện Gò Dầu,"Xã Hiệp Thạnh
Xã Phước Trạch
Xã Phước Thạnh",Xã Phước Thạnh,
Huyện Dương Minh Châu,"Xã Truông Mít
Xã Bàu Đồn (huyện Gò Dầu)",Xã Truông Mít,
Huyện Dương Minh Châu,"Xã Lộc Ninh
Xã Bến Củi
Xã Phước Minh (trừ phần diện tích mặt nước Hồ Dầu Tiếng)",Xã Lộc Ninh,
Huyện Dương Minh Châu,"Xã Cầu Khởi
Xã Phước Ninh 
Một phần xã Chà Là",Xã Cầu Khởi,
Huyện Dương Minh Châu,"Thị trấn Dương Minh Châu
Xã Phan
Xã Suối Đá
Xã Phước Minh (phần diện tích mặt nước Hồ Dầu Tiếng)",Xã Dương Minh Châu,
Huyện Tân Châu,"Xã Tân Hà 
Xã Tân Đông",Xã Tân Đông,
Huyện Tân Châu,"Thị trấn Tân Châu
Xã Thạnh Đông
Một phần xã Tân Phú (để quản lý mặt nước cầu Tha La)
Một phần xã Suối Dây (để quản lý mặt nước cầu Tha La)",Xã Tân Châu,
Huyện Tân Châu,"Xã Tân Phú
Xã Tân Hưng
Một phần xã Tân Phong (phần diện tích từ đường tỉnh 793)
Một phần xã Mỏ Công (phần diện tích từ đường tỉnh 793)
Một phần xã Trà Vong (phần diện tích từ đường tỉnh 793)",Xã Tân Phú,
Huyện Tân Châu,"Xã Tân Hội
Xã Tân Hiệp",Xã Tân Hội,
Huyện Tân Châu,"Xã Tân Thành
Xã Suối Dây",Xã Tân Thành,
Huyện Tân Châu,"Xã Suối Ngô
Xã Tân Hòa",Xã Tân Hòa,
Huyện Tân Biên,"Xã Tân Lập
Xã Thạnh Bắc",Xã Tân Lập,
Huyện Tân Biên,"Thị trấn Tân Biên
Xã Tân Bình
Xã Thạnh Tây",Xã Tân Biên,
Huyện Tân Biên,"Xã Thạnh Bình
Xã Tân Phong",Xã Thạnh Bình,
Huyện Tân Biên,"Xã Mỏ Công
Xã Trà Vong",Xã Trà Vong,
Huyện Châu Thành,"Xã Phước Vinh 
Xã Hòa Hiệp (huyện Tân Biên)",Xã Phước Vinh,
Huyện Châu Thành,"Xã Biên Giới
Xã Hòa Thạnh
Xã Hòa Hội",Xã Hòa Hội,
Huyện Châu Thành,"Xã Thành Long
Xã Ninh Điền",Xã Ninh Điền,
Huyện Châu Thành,"Thị trấn Châu Thành
Xã Đồng Khởi
Xã Thái Bình 
Xã An Bình",Xã Châu Thành,
Huyện Châu Thành,"Xã An Cơ
Xã Trí Bình
Xã Hảo Đước",Xã Hảo Đước,
Huyện Bến Cầu,"Xã Long Chữ
Xã Long Phước 
Xã Long Vĩnh (huyện Châu Thành)",Xã Long Chữ,
Huyện Bến Cầu,"Xã Long Khánh
Xã Long Giang
Xã Long Thuận",Xã Long Thuận,
Huyện Bến Cầu,"Thị trấn Bến Cầu
Xã Tiên Thuận
Xã Lợi Thuận 
Xã An Thạnh",Xã Bến Cầu,
Thành phố Tân An,"Phường 1
Phường 3
Phường 4
Phường 5
Phường 6
Xã Hướng Thọ Phú
Một phần xã Bình Thạnh (huyện Thủ Thừa)",Phường Long An,
Thành phố Tân An,"Phường 7
Xã An Vĩnh Ngãi
Xã Bình Tâm
Xã Nhơn Thạnh Trung",Phường Tân An,
Thành phố Tân An,"Phường Tân Khánh
Phường Khánh Hậu
Xã Lợi Bình Nhơn",Phường Khánh Hậu,
Thị xã Kiến Tường,"Phường 1
Phường 2
Phường 3",Phường Kiến Tường,
Thị xã Kiến Tường,"Xã Tuyên Thạnh
Xã Thạnh Hưng
Một phần xã Bắc Hòa (huyện Tân Thạnh)",Xã Tuyên Thạnh,
Thị xã Kiến Tường,"Xã Thạnh Trị
Xã Bình Tân
Xã Bình Hiệp
Xã Bình Hòa Tây (huyện Mộc Hóa)",Xã Bình Hiệp,
Huyện Bến Lức,"Thị trấn Bến Lức
Xã Thanh Phú
Xã An Thạnh",Xã Bến Lức,
Huyện Bến Lức,"Xã Tân Bửu
Xã Lương Hòa",Xã Lương Hòa,
Huyện Bến Lức,"Xã Thạnh Đức
Xã Bình Đức
Xã Nhựt Chánh",Xã Bình Đức,
Huyện Bến Lức,"Xã Thạnh Hòa
Xã Thạnh Lợi
Xã Lương Bình",Xã Thạnh Lợi,
Huyện Cần Đước,"Thị trấn Cần Đước
Xã Phước Tuy
Xã Tân Ân
Xã Tân Chánh",Xã Cần Đước,
Huyện Cần Đước,"Xã Tân Lân
Xã Phước Đông",Xã Tân Lân,
Huyện Cần Đước,"Xã Long Hựu Đông
Xã Long Hựu Tây",Xã Long Hựu,
Huyện Cần Đước,"Xã Mỹ Lệ
Xã Tân Trạch
Xã Long Sơn",Xã Mỹ Lệ,
Huyện Cần Đước,"Xã Long Trạch
Xã Long Khê
Xã Long Hòa",Xã Rạch Kiến,
Huyện Cần Đước,"Xã Long Định
Xã Long Cang
Xã Phước Vân",Xã Long Cang,
Huyện Cần Giuộc,"Thị trấn Cần Giuộc 
Xã Long Hậu
Xã Phước Lại",Xã Cần Giuộc,
Huyện Cần Giuộc,"Xã Phước Lý
Xã Long Thượng
Xã Phước Hậu",Xã Phước Lý,
Huyện Cần Giuộc,"Xã Phước Lâm
Xã Thuận Thành
Xã Mỹ Lộc",Xã Mỹ Lộc,
Huyện Cần Giuộc,"Xã Long An
Xã Long Phụng
Xã Phước Vĩnh Tây",Xã Phước Vĩnh Tây,
Huyện Cần Giuộc,"Xã Tân Tập
Xã Đông Thạnh
Xã Phước Vĩnh Đông",Xã Tân Tập,
Huyện Châu Thành,"Thị trấn Tầm Vu
Xã Phú Ngãi Trị
Xã Hiệp Thạnh
Xã Phước Tân Hưng",Xã Tầm Vu,
Huyện Châu Thành,"Xã Vĩnh Công
Xã Hòa Phú
Xã Bình Quới",Xã Vĩnh Công,
Huyện Châu Thành,"Xã Dương Xuân Hội
Xã Long Trì
Xã An Lục Long",Xã An Lục Long,
Huyện Châu Thành,"Xã Thanh Phú Long
Xã Thanh Vĩnh Đông
Xã Thuận Mỹ",Xã Thuận Mỹ,
Huyện Đức Hòa,"Thị trấn Đức Hòa
Xã Đức Hòa Hạ
Xã Hựu Thạnh",Xã Đức Hòa,
Huyện Đức Hòa,"Thị trấn Hậu Nghĩa
Xã Đức Lập Thượng
Xã Tân Mỹ",Xã Hậu Nghĩa,
Huyện Đức Hòa,"Thị trấn Hiệp Hòa
Xã Hiệp Hòa
Xã Tân Phú",Xã Hiệp Hòa,
Huyện Đức Hòa,"Xã Đức Lập Hạ
Xã Mỹ Hạnh Bắc
Một phần xã Đức Hòa Thượng",Xã Đức Lập,
Huyện Đức Hòa,"Xã Mỹ Hạnh Nam
Xã Đức Hòa Đông
Một phần xã Đức Hòa Thượng",Xã Mỹ Hạnh,
Huyện Đức Hòa,"Xã Hòa Khánh Tây
Xã Hòa Khánh Nam
Xã Hòa Khánh Đông",Xã Hòa Khánh,
Huyện Đức Hòa,"Xã Lộc Giang
Xã An Ninh Đông
Xã An Ninh Tây",Xã An Ninh,
Huyện Đức Huệ,"Thị trấn Đông Thành
Xã Mỹ Thạnh Tây
Xã Mỹ Thạnh Đông
Xã Mỹ Bình",Xã Đông Thành,
Huyện Đức Huệ,"Xã Bình Hòa Bắc
Xã Bình Hòa Nam
Xã Bình Thành",Xã Đức Huệ,
Huyện Đức Huệ,"Xã Mỹ Quý Đông
Xã Mỹ Quý Tây
Xã Mỹ Thạnh Bắc",Xã Mỹ Quý,
Huyện Mộc Hóa,"Thị trấn Bình Phong Thạnh
Xã Tân Thành
Xã Tân Lập",Xã Mộc Hóa,
Huyện Mộc Hóa,"Xã Bình Hòa Đông
Xã Bình Hòa Trung
Xã Bình Thạnh",Xã Bình Hòa,
Huyện Tân Hưng,"Thị trấn Tân Hưng
Xã Vĩnh Thạnh
Xã Vĩnh Lợi",Xã Tân Hưng,
Huyện Tân Hưng,"Xã Hưng Điền
Xã Hưng Điền B
Xã Hưng Hà",Xã Hưng Điền,
Huyện Tân Hưng,"Xã Vĩnh Châu B
Xã Hưng Thạnh
Xã Thạnh Hưng",Xã Vĩnh Thạnh,
Huyện Tân Hưng,"Xã Vĩnh Đại
Xã Vĩnh Bửu
Xã Vĩnh Châu A",Xã Vĩnh Châu,
Huyện Tân Thạnh,"Thị trấn Tân Thạnh
Xã Kiến Bình
Xã Tân Bình
Xã Tân Hòa",Xã Tân Thạnh,
Huyện Tân Thạnh,"Xã Tân Thành
Xã Tân Ninh
Xã Nhơn Ninh",Xã Nhơn Ninh,
Huyện Tân Thạnh,"Xã Nhơn Hòa Lập
Xã Nhơn Hòa
Xã Tân Lập",Xã Nhơn Hòa Lập,
Huyện Tân Thạnh,"Xã Hậu Thạnh Đông
Xã Hậu Thạnh Tây
Một phần xã Bắc Hòa",Xã Hậu Thạnh,
Huyện Tân Trụ,"Thị trấn Tân Trụ
Xã Bình Trinh Đông
Xã Bình Lãng
Xã Bình Tịnh",Xã Tân Trụ,
Huyện Tân Trụ,"Xã Quê Mỹ Thạnh
Xã Lạc Tấn
Xã Tân Bình
Một phần xã Nhị Thành (huyện Thủ Thừa)",Xã Nhựt Tảo,
Huyện Tân Trụ,"Xã Tân Phước Tây
Xã Nhựt Ninh
Xã Đức Tân",Xã Vàm Cỏ,
Huyện Thạnh Hóa,"Thị trấn Thạnh Hóa
Xã Thủy Tây
Xã Thạnh An",Xã Thạnh Hóa,
Huyện Thạnh Hóa,"Xã Thuận Nghĩa Hòa
Xã Thạnh Phú
Xã Thạnh Phước",Xã Thạnh Phước,
Huyện Thạnh Hóa,"Xã Thủy Đông
Xã Tân Tây
Xã Tân Đông",Xã Tân Tây,
Huyện Thạnh Hóa,"Xã Tân Hiệp
Xã Thuận Bình
Xã Bình Hòa Hưng (huyện Đức Huệ)",Xã Bình Thành,
Huyện Thủ Thừa,"Thị trấn Thủ Thừa
Một phần xã Bình Thạnh
Một phần xã Nhị Thành
Một phần xã Tân Thành",Xã Thủ Thừa,
Huyện Thủ Thừa,"Xã Mỹ An
Xã Mỹ Phú",Xã Mỹ An,
Huyện Thủ Thừa,"Xã Bình An
Xã Mỹ Thạnh
Xã Mỹ Lạc
Một phần xã Tân Thành",Xã Mỹ Thạnh,
Huyện Thủ Thừa,"Xã Tân Long
Xã Long Thạnh
Xã Long Thuận",Xã Tân Long,
Huyện Vĩnh Hưng,"Thị trấn Vĩnh Hưng
Một phần xã Vĩnh Trị
Một phần xã Vĩnh Thuận
Một phần xã Thái Trị
Một phần xã Thái Bình Trung
Một phần xã Vĩnh Bình",Xã Vĩnh Hưng,
Huyện Vĩnh Hưng,"Xã Tuyên Bình
Xã Tuyên Bình Tây
Một phần xã Vĩnh Thuận
Một phần xã Thái Bình Trung
Một phần xã Vĩnh Bình",Xã Tuyên Bình,
Huyện Vĩnh Hưng,"Xã Khánh Hưng
Xã Hưng Điền A
Một phần xã Thái Bình Trung
Một phần xã Vĩnh Trị
Một phần xã Thái Trị",Xã Khánh Hưng,
,,,
